
List of all 1166 Unique words with their count
 Count : Word
-------------------------------------------
151 : the
122 : and
 97 : to
 77 : I
 72 : he
 69 : of
 60 : in
 54 : a
 51 : you
 50 : his
 48 : was
 47 : that
 35 : it
 33 : He
 30 : with
 30 : had
 27 : not
 27 : me
 26 : for
 26 : is
 26 : Father
 25 : at
 24 : him
 22 : have
 20 : on
 20 : so
 19 : be
 18 : Superior
 18 : s
 17 : But
 17 : all
 17 : am
 17 : von
 16 : Fyodor
 16 : will
 16 : Pavlovitch
 16 : Sohn
 15 : Ivan
 15 : my
 14 : It
 14 : no
 13 : were
 13 : but
 13 : You
 12 : this
 12 : himself
 12 : by
 11 : away
 11 : from
 11 : your
 10 : again
 10 : Miusov
 10 : about
 10 : are
 10 : The
 10 : as
 10 : And
 10 : do
 10 : been
 10 : they
  9 : too
  9 : now
  9 : t
  9 : monastery
  9 : what
  9 : felt
  9 : one
  9 : could
  9 : up
  8 : Why
  8 : most
  8 : here
  8 : them
  8 : has
  8 : which
  8 : room
  8 : old
  8 : there
  7 : only
  7 : son
  7 : would
  7 : Alyosha
  7 : cried
  7 : when
  7 : No
  7 : moment
  7 : say
  7 : Pyotr
  7 : Alexandrovitch
  7 : table
  7 : go
  7 : much
  7 : did
  6 : cannot
  6 : out
  6 : Maximov
  6 : must
  6 : even
  6 : our
  6 : two
  6 : cell
  6 : Rakitin
  5 : home
  5 : come
  5 : without
  5 : how
  5 : got
  5 : own
  5 : Well
  5 : well
  5 : made
  5 : who
  5 : quite
  5 : word
  5 : What
  5 : once
  5 : though
  5 : might
  5 : ll
  5 : said
  5 : aloud
  5 : nothing
  5 : played
  5 : Fathers
  5 : into
  4 : lower
  4 : take
  4 : knew
  4 : great
  4 : buffoon
  4 : words
  4 : people
  4 : There
  4 : being
  4 : last
  4 : dinner
  4 : man
  4 : some
  4 : ve
  4 : we
  4 : before
  4 : still
  4 : That
  4 : time
  4 : We
  4 : good
  4 : know
  4 : family
  4 : sent
  4 : de
  4 : want
  4 : look
  4 : Alexey
  4 : lie
  4 : get
  4 : more
  4 : monks
  4 : shall
  4 : tut
  3 : carriage
  3 : went
  3 : already
  3 : course
  3 : where
  3 : over
